office_from_id,horizon,rows,y_sum,wins,ties,win_rate,tie_rate,ml_mean_abs_err,strong_mean_abs_err,delta_abs_err_mean,expected_loss_abs_mean,expected_gain_abs_mean,expected_loss_wape_like,expected_gain_wape_like,ml_abs_err_sum,strong_abs_err_sum,gap_abs_err_sum,loss_abs_sum,gain_abs_sum
1,1,18090,2107774.0,13051,0,0.7214483139856274,0.0,8.87909293556572,17.38174931477156,-8.50265637920584,1.8159130205318177,10.318569399737656,0.015585099038806144,0.08855926699980843,160622.7912043839,314435.84510421753,-153813.05389983364,32849.86654142058,186662.92044125422
1,2,18036,2102765.0,12939,0,0.7173985362608117,0.0,10.231315004121507,17.886396603828576,-7.655081599707071,1.8677565964107834,9.522838196117855,0.01602026758713641,0.08168003067636262,184531.9974143355,322599.0491466522,-138067.05173231673,33686.85797286489,171753.90970518164
1,3,17982,2097505.0,12325,0,0.6854076298520743,0.0,12.355742717714003,18.538308789263098,-6.182566071549097,2.106450497174674,8.28901656872377,0.0180586901295563,0.0710620932673776,222180.9655499332,333355.86864852905,-111174.90309859587,37878.192840194984,149053.09593879085
1,4,17928,2091888.0,12070,0,0.6732485497545738,0.0,13.747627014180441,19.220754075295048,-5.473127061114609,2.118305765076287,7.591432826190895,0.018154406811592052,0.06506046581267753,246467.45711022694,344589.67906188965,-98122.22195166271,37976.98575628767,136099.20770795038
1,5,17874,2086012.0,12206,0,0.6828913505650666,0.0,13.93532050548708,19.94683347020998,-6.0115129647228995,2.0020132066413994,8.0135261713643,0.01715425609033331,0.06866392273245095,249079.91871507608,356529.7014465332,-107449.7827314571,35783.98405550837,143233.76678696548
1,6,17820,2079902.0,12293,0,0.6898428731762065,0.0,14.070933767846238,20.65750220991278,-6.586568442066543,1.9830757148364435,8.569644156902987,0.01699042033633576,0.07342223762273954,250744.03974301997,368116.68938064575,-117372.6496376258,35338.40923838542,152711.05887601123
1,7,17766,2073713.0,12300,0,0.6923336710570753,0.0,14.351836635411082,21.342423020109162,-6.99058638469808,1.9706501080914016,8.961236492789483,0.016883035318943286,0.07677307685822385,254974.7296647133,379169.4873752594,-124194.7577105461,35010.56982035184,159205.32753089795
1,8,17712,2067292.0,12212,0,0.6894760614272809,0.0,14.468255996976618,22.006444536358146,-7.538188539381527,2.1413610001183017,9.67954953949983,0.018346603205592317,0.08293176844084965,256261.75021844986,389778.14562797546,-133516.3954095256,37927.786034095356,171444.18144362097
1,9,17658,2060531.0,12232,0,0.692717182013818,0.0,14.653668374070849,22.594182218183732,-7.940513844112885,2.1735756636059387,10.114089507718823,0.018626751583913886,0.08667406242725734,258754.47614934304,398968.06960868835,-140213.5934593453,38380.999067953664,178594.59252729898
1,10,17604,2053351.0,12356,0,0.7018859350147694,0.0,14.63743104069889,23.142319545884533,-8.504888505185644,2.198690579408736,10.70357908459438,0.018850040231753552,0.09176502517358186,257677.33604046327,407397.39328575134,-149720.05724528807,38705.74895991139,188425.80620519948
2,1,6030,195215.0,4742,0,0.7864013266998342,0.0,5.176475771015987,13.60848732991005,-8.432011558894065,0.7501116641194343,9.182123223013498,0.023170214044208635,0.28362678602961555,31214.148899226402,82059.1785993576,-50845.02970013121,4523.173334640189,55368.203034771395
2,2,6012,194738.0,4369,0,0.7267132401862941,0.0,7.155871355525682,13.668826276749988,-6.512954921224305,1.1651972979448064,7.678152219169112,0.03597226096213464,0.23704182615434433,43021.0985894204,82176.98357582092,-39155.884986400524,7005.1661552441765,46161.051141644704
2,3,5994,194395.0,4039,0,0.6738405071738405,0.0,9.252472290014598,13.762389844602293,-4.509917554587695,1.47737611751717,5.987293672104864,0.04555360193625308,0.1846129698325397,55459.3189063475,82491.76472854614,-27032.445822198642,8855.392448397917,35887.838270596556
2,4,5976,193968.0,3779,0,0.6323627844712182,0.0,11.217417422279294,13.830898490137205,-2.6134810678579115,1.4166420441678798,4.030123112025791,0.04364561606010914,0.12416489172165579,67035.28651554105,82653.44937705994,-15618.162861518878,8465.852855947249,24084.01571746613
2,5,5958,193488.0,3484,0,0.5847599865726754,0.0,12.506908244201172,13.899679709777372,-1.3927714655762007,1.4480255147197136,2.8407969802959143,0.044588481025696965,0.08747554581474333,74516.15931895058,82814.29171085358,-8298.132391903004,8627.336016700054,16925.468408603057
2,6,5940,193007.0,3439,0,0.578956228956229,0.0,12.814059666805601,14.025878827419346,-1.2118191606137434,1.4635968831484931,2.6754160437622367,0.045043783313051075,0.08233883382440889,76115.51442082528,83313.72023487091,-7198.205814045636,8693.76548590205,15891.971299947685
2,7,5922,192218.0,3458,0,0.5839243498817966,0.0,12.951301614948884,14.024707856511634,-1.0734062415627512,1.4165714724054697,2.4899777139682207,0.04364282356275266,0.07671314872758953,76697.60816372729,83054.3199262619,-6356.711762534613,8388.93625958519,14745.648022119803
2,8,5904,191264.0,3423,0,0.5797764227642277,0.0,12.871888344727736,13.979986828194079,-1.1080984834663423,1.4891460009728765,2.597244484439219,0.0459674480808927,0.08017259618186981,75995.62878727255,82537.84223365784,-6542.213446385285,8791.917989743863,15334.131436129148
2,9,5886,190223.0,3341,0,0.5676180767923887,0.0,12.914967315507564,13.914745258871811,-0.999777943364247,1.4717541806143004,2.4715321239785473,0.04553994578518777,0.0764757052603404,76017.49761907752,81902.19059371948,-5884.692974641957,8662.745107095772,14547.43808173773
2,10,5868,189210.0,3317,0,0.5652692569870484,0.0,12.91546046523864,13.798259388937296,-0.8827989236986565,1.5683602674634352,2.4511591911620916,0.048639807882645936,0.0760181921343436,75787.92201002034,80968.18609428406,-5180.2640842637165,9203.138049475438,14383.402133739153
3,1,9045,480648.0,6701,0,0.7408512990602543,0.0,7.308121653651433,15.172839474295833,-7.864717820644398,1.484443791562429,9.349161612206828,0.02793477574999203,0.17593575086635282,66101.96035727722,137238.3330450058,-71136.37268772858,13426.794094682169,84563.16678241076
3,2,9018,479295.0,6071,0,0.6732091372809935,0.0,9.920799996557975,15.24385800734939,-5.3230580107914145,1.9047744930078847,7.227832503799299,0.035838588714560145,0.1359926423585935,89465.77436895981,137469.1115102768,-48003.33714131697,17177.256377945105,65180.59351926208
3,3,8991,478128.0,5689,0,0.6327438549660772,0.0,12.168472030476037,15.300972241234188,-3.1325002107581503,1.8794161929835294,5.011916403741679,0.03534164698807623,0.09424702252543553,109406.73202601005,137571.04142093658,-28164.309394926528,16897.83099111491,45062.140386041436
3,4,8964,477064.0,5250,0,0.5856760374832664,0.0,13.787004968599788,15.387034049793739,-1.6000290811939506,1.7957393391215604,3.3957684203155107,0.03374181962144632,0.06380625685381466,123586.7125385285,137929.37322235107,-14342.660683822573,16097.007435885667,30439.66811970824
3,5,8937,476020.0,5056,0,0.5657379433814479,0.0,14.280040019145126,15.494355486745707,-1.214315467600582,1.9430078100353245,3.1573232776359066,0.03647884710366307,0.05927691721405003,127620.71765109999,138473.0549850464,-10852.337333946401,17364.660798285695,28216.998132232096
3,6,8910,474516.0,4968,0,0.5575757575757576,0.0,14.353185355115967,15.558391289973232,-1.2052059348572652,2.0211134263854986,3.226319361242764,0.03795050246797746,0.06058068749773037,127886.88151408326,138625.2663936615,-10738.384879578234,18008.120629094792,28746.505508673024
3,7,8883,472901.0,5009,0,0.5638860745243724,0.0,14.441963459960387,15.612583140646246,-1.170619680685858,2.0260493025202497,3.196668983206108,0.03805742841374279,0.06004641685642419,128287.96141482813,138686.5760383606,-10398.614623532476,17997.395954287378,28396.010577819856
3,8,8856,471285.0,4968,0,0.5609756097560976,0.0,14.36937137047189,15.666554447542792,-1.2971830770709016,2.060473667840023,3.357656744910924,0.038718726041336436,0.06309432325011648,127255.15285689906,138743.00618743896,-11487.853330539905,18247.55480239124,29735.408132931145
