horizon,feature,gain,split,block,gain_pct_horizon
9,target_lag_8,9730.334218025208,303,short_lags,0.0002705689089931734
9,target_lag_12,11346.471821784973,322,short_lags,0.00031550843300480263
9,target_lag_24,17825.26211452484,364,short_lags,0.0004956624936798074
9,target_lag_48,16255.067014694214,365,mid_lags,0.00045200048109645926
9,target_lag_96,11079.996320724487,298,mid_lags,0.0003080986170642791
9,target_lag_144,24124.161182403564,336,mid_lags,0.0006708143651845821
9,target_lag_192,24713.790013313293,368,long_lags,0.0006872100229200204
9,target_lag_240,34808.49141693115,336,long_lags,0.0009679107968285929
9,target_lag_288,18165.315690994263,328,long_lags,0.0005051182762997009
9,target_lag_336,10719.262296676636,285,long_lags,0.000298067778540507
9,target_lag_672,9074.538294792175,332,long_lags,0.00025233335988504173
9,target_roll_mean_2,6973.958776473999,199,roll_mean,0.00019392308375373505
