score,wape,rbias,mae,rmse,smape,mean_error,p90_abs_error,under_capacity_units,over_capacity_units,sum_true,sum_pred,variant,horizon,train_window_days,base_name,calib_mode,best_iteration,global_scale,post_scale,office_strength
0.1435841708270282,0.14307168419380398,0.0005124866332242295,10.443968156762018,20.66864666509429,0.21224719175261053,-0.03741356081726903,24.088953313141808,1755631.4376945305,1743097.8948207456,24454380.0,24441847.457126215,status_semantics_export_bundle,1,28,blend_roll48_same7d,office_shrink,3482,1.03,1.0050000000000001,4.0
0.200311345209045,0.1997342511802311,0.0005770940288138959,14.58274957238065,28.304850106528054,0.27341354370855137,-0.04213407391161082,34.385143066214475,2442355.5689308075,2428282.7882443294,24385594.0,24371521.21931352,status_semantics_export_bundle,2,28,blend_roll48_same7d,office_shrink,3174,1.04,1.0050000000000001,1.0
0.23998582770215515,0.2397988281779353,0.00018699952421985522,17.509740293619853,33.75380069376895,0.31189864601802525,-0.013654416616627845,41.5568381318359,2917645.219254374,2913098.298521037,24315146.0,24310599.079266664,status_semantics_export_bundle,3,28,blend_roll48_same7d,office_shrink,1275,1.05,1.0075,4.0
0.26626409354683894,0.26618330574474464,8.078780209430647e-05,19.436146962647523,37.43573231912141,0.3349103638935278,0.00590196799472591,46.00569299013966,3225420.6691123643,3227380.1224866137,24241944.0,24243902.45337425,status_semantics_export_bundle,4,42,blend_roll48_same7d,office_shrink,1472,1.0650000000000002,1.01,2.0
0.2698416958050006,0.2697354719687409,0.00010622383625968901,19.694061554573093,37.58172817094772,0.33916161913666965,0.007755668005367581,46.80947269685085,3258083.6242269585,3260650.7503367355,24167138.0,24169705.12610978,status_semantics_export_bundle,5,42,blend_roll48_same7d,office_shrink,995,1.0650000000000002,1.01,0.5
0.271522386096223,0.2713822283792497,0.00014015771697328816,19.811123066949484,37.61343448292915,0.34124385134660035,0.010231627164102489,47.039153336173676,3267147.0875645876,3270523.524528742,24090268.0,24093644.436964154,status_semantics_export_bundle,6,42,blend_roll48_same7d,office_shrink,976,1.0675000000000001,1.01,0.5
0.27213583899610466,0.2720327859221681,0.00010305307393654317,19.854487345325275,37.64300324653678,0.342191734960921,0.007518355179373941,47.194462035069996,3264826.3988790005,3267299.937733015,24012276.0,24014750.538854014,status_semantics_export_bundle,7,42,blend_roll48_same7d,office_shrink,577,1.0675000000000001,1.01,0.5
0.27306002897454223,0.2726999858264553,0.0003600431480869082,19.89677627318483,37.617439080702155,0.3434883211561829,-0.026269520859962252,47.269387860441256,3267379.510223346,3258763.107381278,23931584.0,23922967.597157933,status_semantics_export_bundle,8,56,blend_roll48_same7d,office_shrink,785,1.07,1.01,1.0
0.273057130287612,0.27274742559168985,0.000309704695922175,19.891231198665796,37.477488693956346,0.34386207712621897,-0.022583434496406138,47.16250612319536,3255908.69252202,3248523.9094416955,23847824.0,23840438.216919675,status_semantics_export_bundle,9,56,blend_roll48_same7d,office_shrink,781,1.07,1.01,1.0
0.2738340452733108,0.27362079054473676,0.0002132547285740305,19.94588632737648,37.49091486884729,0.3446501990070516,0.015545436318797982,47.300291061612135,3248645.5652424023,3253713.3774823304,23764126.0,23769193.81223993,status_semantics_export_bundle,10,56,blend_roll48_same7d,office_shrink,646,1.07,1.01,0.5
